Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment,Prediction
4965.5215579999995,21156927317,87495096746.0,17620525,17620525,0.92,5.19,22.36,4945.03,4945.03,4945.03,19-04-03-09-45,0.096662402,4980.2676
4965.5215579999995,21156927317,87495096746.0,17620525,17620525,0.92,5.19,22.36,4945.03,4945.03,4945.03,19-04-03-09-46,0.092070112,4980.4966
4965.5215579999995,21156927317,87495096746.0,17620525,17620525,0.92,5.19,22.36,4948.63,4948.63,4948.63,19-04-03-09-47,0.096364111,4980.8257
4966.409396999999,21142986760,87510740937.0,17620525,17620525,0.81,5.15,22.37,4950.15,4950.15,4950.15,19-04-03-09-48,0.093732532,4981.2466
4966.409396999999,21142986760,87510740937.0,17620525,17620525,0.81,5.15,22.37,4950.63,4950.63,4950.63,19-04-03-09-49,0.093732532,4981.7407
4967.715577,21131794313,87533756510.0,17620525,17620525,0.84,5.17,22.41,4950.65,4950.65,4950.65,19-04-03-09-50,0.098788704,4982.2915
4967.715577,21131794313,87533756510.0,17620525,17620525,0.84,5.17,22.41,4950.7,4950.7,4950.7,19-04-03-09-51,0.09429005900000001,4982.882
4967.715577,21131794313,87533756510.0,17620525,17620525,0.84,5.17,22.41,4949.82,4949.82,4949.82,19-04-03-09-52,0.10074973300000001,4983.494
4970.090634,21134943392,87575606267.0,17620525,17620525,0.73,5.17,22.46,4951.96,4951.96,4951.96,19-04-03-09-53,0.078874733,4984.1187
4970.090634,21134943392,87575606267.0,17620525,17620525,0.73,5.17,22.46,4952.49,4952.49,4952.49,19-04-03-09-54,0.082925685,4984.7393
4967.226204,21138002634,87525133500.0,17620525,17620525,0.67,5.11,22.39,4952.49,4952.49,4952.49,19-04-03-09-55,0.077825072,4985.372
4967.226204,21138002634,87525133500.0,17620525,17620525,0.67,5.11,22.39,4956.88,4956.88,4956.88,19-04-03-09-56,0.073429467,4986.0225
4967.226204,21138002634,87525133500.0,17620525,17620525,0.67,5.11,22.39,4958.69,4958.69,4958.69,19-04-03-09-57,0.075734998,4986.6855
4964.532856,21157689286,87477675311.0,17620525,17620525,0.46,4.99,22.32,4957.06,4957.06,4957.06,19-04-03-09-58,0.074893498,4987.347
4964.532856,21157689286,87477675311.0,17620525,17620525,0.46,4.99,22.32,4957.06,4957.06,4957.06,19-04-03-09-59,0.072524272,4987.987
4969.202654,21189176740,87559959588.0,17620525,17620525,0.56,5.09,22.43,4960.53,4960.53,4960.53,19-04-03-10-00,0.075241664,4988.576
4969.202654,21189176740,87559959588.0,17620525,17620525,0.56,5.09,22.43,4960.77,4960.77,4960.77,19-04-03-10-01,0.06278322900000001,4989.091
4969.202654,21189176740,87559959588.0,17620525,17620525,0.56,5.09,22.43,4959.15,4959.15,4959.15,19-04-03-10-02,0.060005450999999994,4989.524
4971.19415,21138703691,87595050805.0,17620525,17620525,0.47,5.08,22.48,4961.91,4961.91,4961.91,19-04-03-10-03,0.07351306,4989.8906
4971.19415,21138703691,87595050805.0,17620525,17620525,0.47,5.08,22.48,4960.37,4960.37,4960.37,19-04-03-10-04,0.068511659,4990.212
