Price,24H_Vol,MarketCap,Available Supply,Total Supply,Percent Change 1H,Percent Change 24H,Percent Change 7D,USD Sell,USD Buy,Average,Time,Sentiment
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.27,4932.27,4932.27,19-04-03-08-49,0.089722483
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.27,4932.27,4932.27,19-04-03-08-50,0.094611274
4925.600616,21415736241,86791668796,17620525,17620525,-0.54,4.99,21.43,4932.71,4932.71,4932.71,19-04-03-08-51,0.094611274
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4934.54,4934.54,4934.54,19-04-03-08-52,0.102996242
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4935.65,4935.65,4935.65,19-04-03-08-53,0.108780205
4922.869452,21438049189,86743544244,17620525,17620525,-0.57,4.88,21.36,4938.22,4938.22,4938.22,19-04-03-08-54,0.108895735
4922.340645,21427995433,86734226393,17620525,17620525,-0.58,4.86,21.34,4937.39,4937.39,4937.39,19-04-03-08-55,0.121103035
4922.340645,21427995433,86734226393,17620525,17620525,-0.58,4.86,21.34,4937.39,4937.39,4937.39,19-04-03-08-56,0.113454269
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4936.22,4936.22,4936.22,19-04-03-08-57,0.121896868
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4937.17,4937.17,4937.17,19-04-03-08-58,0.127504711
4929.278437,21310545044,86856473928,17620525,17620525,-0.4,4.96,21.51,4937.83,4937.83,4937.83,19-04-03-08-59,0.104710593
4951.187682,21348474072,87242526334,17620525,17620525,0.05,5.43,22.05,4939.65,4939.65,4939.65,19-04-03-09-00,0.109306982
4951.187682,21348474072,87242526334,17620525,17620525,0.05,5.43,22.05,4940.07,4940.07,4940.07,19-04-03-09-01,0.095484748
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4940.32,4940.32,4940.32,19-04-03-09-02,0.08929745
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4940.32,4940.32,4940.32,19-04-03-09-03,0.078516012
4960.169172,21486451574,87400784894,17620525,17620525,0.3,5.56,22.26,4942.71,4942.71,4942.71,19-04-03-09-04,0.085945731
4957.198609,21323249090,87348442017,17620525,17620525,0.24,5.5,22.19,4942.71,4942.71,4942.71,19-04-03-09-05,0.082541615
4957.198609,21323249090,87348442017,17620525,17620525,0.24,5.5,22.19,4940.66,4940.66,4940.66,19-04-03-09-06,0.093945069
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4938.24,4938.24,4938.24,19-04-03-09-07,0.107271032
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4934.97,4934.97,4934.97,19-04-03-09-08,0.101871898
4964.246126,21329292024,87472622977,17620525,17620525,0.48,5.58,22.36,4936.86,4936.86,4936.86,19-04-03-09-09,0.098823118
4965.739057,21336223734,87498929189,17620525,17620525,0.51,5.61,22.39,4938.02,4938.02,4938.02,19-04-03-09-10,0.092005901
4965.739057,21336223734,87498929189,17620525,17620525,0.51,5.61,22.39,4936.45,4936.45,4936.45,19-04-03-09-11,0.092944869
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4936.45,4936.45,4936.45,19-04-03-09-12,0.090858715
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4935.57,4935.57,4935.57,19-04-03-09-13,0.097785122
4962.556414,21313317704,87442849353,17620525,17620525,0.56,5.48,22.31,4934.33,4934.33,4934.33,19-04-03-09-14,0.09155638
4962.639197,21307245538,87444308043,17620525,17620525,0.56,5.48,22.31,4935.26,4935.26,4935.26,19-04-03-09-15,0.092789003
4962.639197,21307245538,87444308043,17620525,17620525,0.56,5.48,22.31,4935.65,4935.65,4935.65,19-04-03-09-16,0.090655923
4960.225991,21290175082,87401786071,17620525,17620525,0.61,5.37,22.25,4935.65,4935.65,4935.65,19-04-03-09-17,0.090655923
4960.225991,21290175082,87401786071,17620525,17620525,0.61,5.37,22.25,4929.83,4929.83,4929.83,19-04-03-09-18,0.101801067
4960.225991,21290175082,87401786071,17620525,17620525,0.61,5.37,22.25,4929.83,4929.83,4929.83,19-04-03-09-19,0.098129145
4952.773068,21286717879,87270461655,17620525,17620525,0.46,5.21,22.07,4934.9,4934.9,4934.9,19-04-03-09-20,0.102676423
4952.773068,21286717879,87270461655,17620525,17620525,0.46,5.21,22.07,4935.83,4935.83,4935.83,19-04-03-09-21,0.105134523
4949.345177,21286695362,87210060426,17620525,17620525,0.49,5.08,21.98,4936.38,4936.38,4936.38,19-04-03-09-22,0.092717281
4949.345177,21286695362,87210060426,17620525,17620525,0.49,5.08,21.98,4939.17,4939.17,4939.17,19-04-03-09-23,0.090679539
4949.345177,21286695362,87210060426,17620525,17620525,0.49,5.08,21.98,4939.84,4939.84,4939.84,19-04-03-09-24,0.092411283
4955.702717,21288541400,87322083620,17620525,17620525,0.62,5.22,22.13,4939.85,4939.85,4939.85,19-04-03-09-25,0.078335176
4955.702717,21288541400,87322083620,17620525,17620525,0.62,5.22,22.13,4938.23,4938.23,4938.23,19-04-03-09-26,0.075567587
4957.80153,21283820893,87359065808,17620525,17620525,0.72,5.21,22.18,4936.46,4936.46,4936.46,19-04-03-09-27,0.072079066
4957.80153,21283820893,87359065808,17620525,17620525,0.72,5.21,22.18,4933.82,4933.82,4933.82,19-04-03-09-28,0.074819682
4957.80153,21283820893,87359065808,17620525,17620525,0.72,5.21,22.18,4935.13,4935.13,4935.13,19-04-03-09-29,0.075496665
4957.515141,21266149428,87354019478,17620525,17620525,0.72,5.2,22.17,4935.36,4935.36,4935.36,19-04-03-09-30,0.080815814
4957.515141,21266149428,87354019478,17620525,17620525,0.72,5.2,22.17,4936.19,4936.19,4936.19,19-04-03-09-31,0.075453437
4955.166807,21254317982,87312640609,17620525,17620525,0.69,5.09,22.11,4937.79,4937.79,4937.79,19-04-03-09-32,0.069659561
4955.166807,21254317982,87312640609,17620525,17620525,0.69,5.09,22.11,4941.74,4941.74,4941.74,19-04-03-09-33,0.071742894
4955.166807,21254317982,87312640609,17620525,17620525,0.69,5.09,22.11,4940.51,4940.51,4940.51,19-04-03-09-34,0.0676177
4957.449266,21213233572,87352858723,17620525,17620525,0.73,5.14,22.17,4940.86,4940.86,4940.86,19-04-03-09-35,0.079720821
4957.449266,21213233572,87352858723,17620525,17620525,0.73,5.14,22.17,4943.18,4943.18,4943.18,19-04-03-09-36,0.079934286
4957.449266,21213233572,87352858723,17620525,17620525,0.73,5.14,22.17,4946.19,4946.19,4946.19,19-04-03-09-37,0.079934286
4956.759337,21200192168,87340701825,17620525,17620525,0.75,5.06,22.15,4945.89,4945.89,4945.89,19-04-03-09-38,0.085197444
4956.759337,21200192168,87340701825,17620525,17620525,0.75,5.06,22.15,4946.04,4946.04,4946.04,19-04-03-09-39,0.084309971
4963.958377,21206741151,87467552684,17620525,17620525,0.89,5.21,22.32,4945,4945,4945,19-04-03-09-40,0.095296466
4963.958377,21206741151,87467552684,17620525,17620525,0.89,5.21,22.32,4944.57,4944.57,4944.57,19-04-03-09-41,0.095296466
4963.958377,21206741151,87467552684,17620525,17620525,0.89,5.21,22.32,4944.57,4944.57,4944.57,19-04-03-09-42,0.094943652
4965.071356,21181989470,87487163958,17620525,17620525,0.92,5.18,22.35,4944.31,4944.31,4944.31,19-04-03-09-43,0.095724902
4965.071356,21181989470,87487163958,17620525,17620525,0.92,5.18,22.35,4944.82,4944.82,4944.82,19-04-03-09-44,0.084891568
4965.521558,21156927317,87495096746,17620525,17620525,0.92,5.19,22.36,4945.03,4945.03,4945.03,19-04-03-09-45,0.096662402
4965.521558,21156927317,87495096746,17620525,17620525,0.92,5.19,22.36,4945.03,4945.03,4945.03,19-04-03-09-46,0.092070112
4965.521558,21156927317,87495096746,17620525,17620525,0.92,5.19,22.36,4948.63,4948.63,4948.63,19-04-03-09-47,0.096364111
4966.409397,21142986760,87510740937,17620525,17620525,0.81,5.15,22.37,4950.15,4950.15,4950.15,19-04-03-09-48,0.093732532
4966.409397,21142986760,87510740937,17620525,17620525,0.81,5.15,22.37,4950.63,4950.63,4950.63,19-04-03-09-49,0.093732532
4967.715577,21131794313,87533756510,17620525,17620525,0.84,5.17,22.41,4950.65,4950.65,4950.65,19-04-03-09-50,0.098788704
4967.715577,21131794313,87533756510,17620525,17620525,0.84,5.17,22.41,4950.7,4950.7,4950.7,19-04-03-09-51,0.094290059
4967.715577,21131794313,87533756510,17620525,17620525,0.84,5.17,22.41,4949.82,4949.82,4949.82,19-04-03-09-52,0.100749733
4970.090634,21134943392,87575606267,17620525,17620525,0.73,5.17,22.46,4951.96,4951.96,4951.96,19-04-03-09-53,0.078874733
4970.090634,21134943392,87575606267,17620525,17620525,0.73,5.17,22.46,4952.49,4952.49,4952.49,19-04-03-09-54,0.082925685
4967.226204,21138002634,87525133500,17620525,17620525,0.67,5.11,22.39,4952.49,4952.49,4952.49,19-04-03-09-55,0.077825072
